year_month,amount
1957-01,1031311048.22557
1957-02,1036083383.49327
1957-03,1038695237.17614
1957-04,1040288074.4098899
1957-05,1050974486.0066601
1957-06,1053947244.84738
1957-07,1055630115.48842
1957-08,1054946260.6039201
1957-09,1052942001.3501399
1957-10,1054915295.7752001
1957-11,1056685800.5238601
1957-12,1055498654.46487
1958-01,1057211892.94993
1958-02,1060951158.18218
1958-03,1063358165.2778001
1958-04,1062814310.42698
1958-05,1062134874.6255901
1958-06,1066718792.8550199
1958-07,1070196204.5868099
1958-08,1071490998.4588901
1958-09,1071140990.0611199
1958-10,1073220413.7046999
1958-11,1074654912.96807
1958-12,1078223658.8375099
1959-01,1082590503.11706
1959-02,1084286999.44066
1959-03,1085306873.65896
1959-04,1083305120.8706899
1959-05,1083414225.928
1959-06,1086107403.34052
1959-07,1093010740.7687201
1959-08,1090731535.08777
1959-09,1080219238.12597
1959-10,1080334684.68986
1959-11,1077547010.57757
1959-12,1077604829.54492
1960-01,1074942686.97737
1960-02,1075860805.61194
1960-03,1077264246.1218
1960-04,1077204991.44468
1960-05,1082089871.762
1960-06,1084892955.46157
1960-07,1086277671.46299
1960-08,1087955546.49763
1960-09,1085626227.60104
1960-10,1082774173.31776
1960-11,1075081577.5681002
1960-12,1083315492.33599
1961-01,1077196399.6663601
1961-02,1079139846.2523
1961-03,1082173278.82582
1961-04,1085657631.47745
1961-05,1090754976.0158
1961-06,1093057540.2416801
1961-07,1093016898.6338198
1961-08,1102852443.1770499
1961-09,1101190985.2961102
1961-10,1102397907.48826
1961-11,1103593161.59064
1961-12,1107267707.06274
1962-01,1106628487.05376
1962-02,1107576871.15836
1962-03,1108319912.73894
1962-04,1104630604.83788
1962-05,1111147787.98294
1962-06,1108868262.79764
1962-07,1105096838.99172
1962-08,1105633956.22608
1962-09,1105239692.63835
1962-10,1104989186.16003
1962-11,1108001636.27172
1962-12,1118826314.49279
1963-01,1114871294.69444
1963-02,1115436890.1884599
1963-03,1118030381.81641
1963-04,1119575050.50325
1963-05,1121254971.8047001
1963-06,1123499470.71312
1963-07,1121642998.6927302
1963-08,1122565920.33982
1963-09,1127815910.08848
1963-10,1133015527.30046
1963-11,1136563595.59021
1963-12,1149040690.7209399
1964-01,1141364653.45179
1964-02,1143070212.8261201
1964-03,1142533352.4407098
1964-04,1153487060.25652
1964-05,1155087538.2541401
1964-06,1157234854.60444
1964-07,1157010495.59337
1964-08,1151729789.71786
1964-09,1153017484.6187298
1964-10,1153084779.78161
1964-11,1152659674.54085
1964-12,1163330690.1131501
1965-01,1163847819.63871
1965-02,1161043694.95659
1965-03,1157363667.61396
1965-04,1161473768.17185
1965-05,1174305777.86671
1965-06,1176901173.21449
1965-07,1170636957.39961
1965-08,1173012864.94696
1965-09,1172916517.24008
1965-10,1176957333.8668299
1965-11,1181526907.1847599
1965-12,1193586201.31971
1966-01,1181181638.50842
1966-02,1173484808.96175
1966-03,1165612407.81443
1966-04,1166823236.97214
1966-05,1160577916.6816502
1966-06,1164988325.83653
1966-07,1170483449.6426198
1966-08,1167513953.73632
1966-09,1164197350.69652
1966-10,1162963408.77364
1966-11,1162157089.55561
1966-12,1165730493.76579
1967-01,1159919326.33947
1967-02,1159183045.51345
1967-03,1151807043.68405
1967-04,1149533774.8268101
1967-05,1151208332.48271
1967-06,1156269856.6581101
1967-07,1155848424.2067099
1967-08,1158918972.67004
1967-09,1158528724.2756898
1967-10,1157127952.7451499
1967-11,1133926533.05388
1967-12,1126405522.8571
1968-01,1120008934.4644601
1968-02,1116326355.7065399
1968-03,1078090611.14272
1968-04,1080616732.9423099
1968-05,1083326944.1550002
1968-06,1099763679.4675
1968-07,1098514294.48508
1968-08,1100268422.01462
1968-09,1100170904.96203
1968-10,1102061737.30495
1968-11,1104124967.77361
1968-12,1107367293.1342
1969-01,1106698184.91625
1969-02,1107966130.29545
1969-03,1109259680.40557
1969-04,1110443261.1392298
1969-05,1106920229.88114
1969-06,1107851663.03945
1969-07,1105602394.80272
1969-08,1105151189.67408
1969-09,1106167094.44045
1969-10,1107243404.50266
1969-11,1106772772.1489
1969-12,1112900137.29427
1970-01,1113512449.37973
1970-02,1114187561.47828
1970-03,1114186221.6290102
1970-04,1113512345.9373598
1970-05,1113387449.8918898
1970-06,1112638811.11554
1970-07,1114920601.74362
1970-08,1104218388.6053102
